,id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
0,296453816,296453816,LAAF,,"Mission: to transform how we give. Founded LAAF, @StanfordPACS, SV2. Wrote Giving 2.0, teach at @StanfordBiz. Live to laugh, give, work, dance & love my @pmarca",http://t.co/2sVzwnZc0i,12125,828,496,Tue May 10 19:51:05 +0000 2011,1585,True,2298,en,"{'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 4, 'id_str': '981912405306261504', 'in_reply_to_screen_name': None, 'favorite_count': 23, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Thu Apr 05 15:12:15 +0000 2018', 'is_quote_status': False, 'text': 'I cannot wait to see my @StanfordGSB students in my Power of You: Women and Leadership course today to begin our le… https://t.co/htbkF1ejIb', 'in_reply_to_status_id': None, 'entities': {'urls': [{'expanded_url': 'https://twitter.com/i/web/status/981912405306261504', 'display_url': 'twitter.com/i/web/status/9…', 'url': 'https://t.co/htbkF1ejIb', 'indices': [117, 140]}], 'hashtags': [], 'symbols': [], 'user_mentions': [{'id': 17813899, 'name': 'Stanford Business', 'indices': [24, 36], 'id_str': '17813899', 'screen_name': 'StanfordGSB'}]}, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': True, 'geo': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'id': 981912405306261504, 'contributors': None}",False,False,False,Arrillaga-Andreessen,0
1,297856522,297856522,e_kaspersky,Mainly on the road,CEO of #Kaspersky Lab. 28 years in #cybersecurity. Views are my own,http://t.co/vprBFgKl3n,178336,7480,3329,Fri May 13 07:19:36 +0000 2011,1091,True,7036,en,"{'retweeted': False, 'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 25, 'id_str': '982610794742460417', 'in_reply_to_screen_name': None, 'possibly_sensitive': False, 'favorite_count': 31, 'contributors': None, 'favorited': False, 'created_at': 'Sat Apr 07 13:27:24 +0000 2018', 'is_quote_status': False, 'text': 'What happened to the Internet: attack on Cisco switches https://t.co/0oIUjbtSFp https://t.co/MHbiVIbIyk', 'in_reply_to_status_id': None, 'entities': {'urls': [{'expanded_url': 'https://kas.pr/py95', 'display_url': 'kas.pr/py95', 'url': 'https://t.co/0oIUjbtSFp', 'indices': [56, 79]}], 'hashtags': [], 'symbols': [], 'user_mentions': [], 'media': [{'expanded_url': 'https://twitter.com/e_kaspersky/status/982610794742460417/photo/1', 'type': 'photo', 'media_url_https': 'https://pbs.twimg.com/media/DaLvMsPX0AAG-FC.jpg', 'id_str': '982610670033293312', 'id': 982610670033293312, 'display_url': 'pic.twitter.com/MHbiVIbIyk', 'url': 'https://t.co/MHbiVIbIyk', 'media_url': 'http://pbs.twimg.com/media/DaLvMsPX0AAG-FC.jpg', 'indices': [80, 103], 'sizes': {'thumb': {'resize': 'crop', 'h': 150, 'w': 150}, 'large': {'resize': 'fit', 'h': 958, 'w': 1460}, 'small': {'resize': 'fit', 'h': 446, 'w': 680}, 'medium': {'resize': 'fit', 'h': 787, 'w': 1200}}}]}, 'extended_entities': {'media': [{'expanded_url': 'https://twitter.com/e_kaspersky/status/982610794742460417/photo/1', 'type': 'photo', 'media_url_https': 'https://pbs.twimg.com/media/DaLvMsPX0AAG-FC.jpg', 'id_str': '982610670033293312', 'id': 982610670033293312, 'display_url': 'pic.twitter.com/MHbiVIbIyk', 'url': 'https://t.co/MHbiVIbIyk', 'media_url': 'http://pbs.twimg.com/media/DaLvMsPX0AAG-FC.jpg', 'indices': [80, 103], 'sizes': {'thumb': {'resize': 'crop', 'h': 150, 'w': 150}, 'large': {'resize': 'fit', 'h': 958, 'w': 1460}, 'small': {'resize': 'fit', 'h': 446, 'w': 680}, 'medium': {'resize': 'fit', 'h': 787, 'w': 1200}}}]}, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': False, 'geo': None, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'id': 982610794742460417, 'lang': 'en'}",False,False,False,Eugene Kaspersky,0
2,311957349,311957349,merongribetz,"Redwood City, CA",Founder & CEO @metaglasses. On a mission to throw out everyone's computers. #AR #AI #neuroscience & more.,https://t.co/JAdReztN9t,2568,30,96,Mon Jun 06 10:43:10 +0000 2011,495,False,218,en,"{'retweeted': False, 'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 4, 'id_str': '957224221096148992', 'in_reply_to_screen_name': None, 'possibly_sensitive': False, 'favorite_count': 0, 'contributors': None, 'favorited': False, 'created_at': 'Sat Jan 27 12:10:13 +0000 2018', 'is_quote_status': False, 'text': 'RT @RDelly: Yum, Meta Meat. #AR steak! @metaglasses https://t.co/J2kBGLwsc3', 'in_reply_to_status_id': None, 'entities': {'urls': [], 'hashtags': [{'indices': [28, 31], 'text': 'AR'}], 'symbols': [], 'user_mentions': [{'id': 42135232, 'name': 'Rob Delwo', 'indices': [3, 10], 'id_str': '42135232', 'screen_name': 'RDelly'}, {'id': 1058232727, 'name': 'Meta', 'indices': [39, 51], 'id_str': '1058232727', 'screen_name': 'metaglasses'}], 'media': [{'source_status_id': 956672471075188736, 'media_url_https': 'https://pbs.twimg.com/media/DUbIh_WU0AAM2i_.jpg', 'url': 'https://t.co/J2kBGLwsc3', 'source_user_id_str': '42135232', 'media_url': 'http://pbs.twimg.com/media/DUbIh_WU0AAM2i_.jpg', 'sizes': {'thumb': {'resize': 'crop', 'h': 150, 'w': 150}, 'large': {'resize': 'fit', 'h': 2048, 'w': 1536}, 'small': {'resize': 'fit', 'h': 680, 'w': 510}, 'medium': {'resize': 'fit', 'h': 1200, 'w': 900}}, 'source_user_id': 42135232, 'source_status_id_str': '956672471075188736', 'type': 'photo', 'id': 956672457129119744, 'expanded_url': 'https://twitter.com/RDelly/status/956672471075188736/photo/1', 'id_str': '956672457129119744', 'display_url': 'pic.twitter.com/J2kBGLwsc3', 'indices': [52, 75]}]}, 'extended_entities': {'media': [{'source_status_id': 956672471075188736, 'media_url_https': 'https://pbs.twimg.com/media/DUbIh_WU0AAM2i_.jpg', 'url': 'https://t.co/J2kBGLwsc3', 'source_user_id_str': '42135232', 'media_url': 'http://pbs.twimg.com/media/DUbIh_WU0AAM2i_.jpg', 'sizes': {'thumb': {'resize': 'crop', 'h': 150, 'w': 150}, 'large': {'resize': 'fit', 'h': 2048, 'w': 1536}, 'small': {'resize': 'fit', 'h': 680, 'w': 510}, 'medium': {'resize': 'fit', 'h': 1200, 'w': 900}}, 'source_user_id': 42135232, 'source_status_id_str': '956672471075188736', 'type': 'photo', 'id': 956672457129119744, 'expanded_url': 'https://twitter.com/RDelly/status/956672471075188736/photo/1', 'id_str': '956672457129119744', 'display_url': 'pic.twitter.com/J2kBGLwsc3', 'indices': [52, 75]}]}, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': False, 'retweeted_status': {'retweeted': False, 'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 4, 'id_str': '956672471075188736', 'in_reply_to_screen_name': None, 'possibly_sensitive': False, 'favorite_count': 6, 'contributors': None, 'favorited': False, 'created_at': 'Thu Jan 25 23:37:45 +0000 2018', 'is_quote_status': False, 'text': 'Yum, Meta Meat. #AR steak! @metaglasses https://t.co/J2kBGLwsc3', 'in_reply_to_status_id': None, 'entities': {'urls': [], 'hashtags': [{'indices': [16, 19], 'text': 'AR'}], 'symbols': [], 'user_mentions': [{'id': 1058232727, 'name': 'Meta', 'indices': [27, 39], 'id_str': '1058232727', 'screen_name': 'metaglasses'}], 'media': [{'expanded_url': 'https://twitter.com/RDelly/status/956672471075188736/photo/1', 'type': 'photo', 'media_url_https': 'https://pbs.twimg.com/media/DUbIh_WU0AAM2i_.jpg', 'id_str': '956672457129119744', 'id': 956672457129119744, 'display_url': 'pic.twitter.com/J2kBGLwsc3', 'url': 'https://t.co/J2kBGLwsc3', 'media_url': 'http://pbs.twimg.com/media/DUbIh_WU0AAM2i_.jpg', 'indices': [40, 63], 'sizes': {'thumb': {'resize': 'crop', 'h': 150, 'w': 150}, 'large': {'resize': 'fit', 'h': 2048, 'w': 1536}, 'small': {'resize': 'fit', 'h': 680, 'w': 510}, 'medium': {'resize': 'fit', 'h': 1200, 'w': 900}}}]}, 'extended_entities': {'media': [{'expanded_url': 'https://twitter.com/RDelly/status/956672471075188736/photo/1', 'type': 'photo', 'media_url_https': 'https://pbs.twimg.com/media/DUbIh_WU0AAM2i_.jpg', 'id_str': '956672457129119744', 'id': 956672457129119744, 'display_url': 'pic.twitter.com/J2kBGLwsc3', 'url': 'https://t.co/J2kBGLwsc3', 'media_url': 'http://pbs.twimg.com/media/DUbIh_WU0AAM2i_.jpg', 'indices': [40, 63], 'sizes': {'thumb': {'resize': 'crop', 'h': 150, 'w': 150}, 'large': {'resize': 'fit', 'h': 2048, 'w': 1536}, 'small': {'resize': 'fit', 'h': 680, 'w': 510}, 'medium': {'resize': 'fit', 'h': 1200, 'w': 900}}}]}, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': False, 'geo': None, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'id': 956672471075188736, 'lang': 'en'}, 'geo': None, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'id': 957224221096148992, 'lang': 'en'}",True,False,False,Meron Gribetz,0
3,312479100,312479100,dflieb,"San Francisco, CA","Product Lead, Google Photos. Previously cofounder/CEO of Bump. Investor/advisor to startups. Optimist.",https://t.co/kwVlGj5Kde,7278,686,244,Tue Jun 07 05:47:14 +0000 2011,7420,True,2746,en,"{'retweeted': False, 'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 7, 'id_str': '981700943375839232', 'in_reply_to_screen_name': None, 'favorite_count': 0, 'contributors': None, 'favorited': False, 'created_at': 'Thu Apr 05 01:11:58 +0000 2018', 'is_quote_status': False, 'text': 'RT @jaltma: Two of the biggest mistakes new managers make:\n1. Being afraid to let people struggle or fail\n2. Being afraid to hire people be…', 'in_reply_to_status_id': None, 'entities': {'urls': [], 'hashtags': [], 'symbols': [], 'user_mentions': [{'id': 423094645, 'name': 'Jack Altman', 'indices': [3, 10], 'id_str': '423094645', 'screen_name': 'jaltma'}]}, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': False, 'retweeted_status': {'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 7, 'id_str': '981660208228380673', 'in_reply_to_screen_name': None, 'favorite_count': 52, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Wed Apr 04 22:30:06 +0000 2018', 'is_quote_status': False, 'text': 'Two of the biggest mistakes new managers make:\n1. Being afraid to let people struggle or fail\n2. Being afraid to hi… https://t.co/TYPEwmt33y', 'in_reply_to_status_id': None, 'entities': {'urls': [{'expanded_url': 'https://twitter.com/i/web/status/981660208228380673', 'display_url': 'twitter.com/i/web/status/9…', 'url': 'https://t.co/TYPEwmt33y', 'indices': [117, 140]}], 'hashtags': [], 'symbols': [], 'user_mentions': []}, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': True, 'geo': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'id': 981660208228380673, 'contributors': None}, 'geo': None, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'id': 981700943375839232, 'lang': 'en'}",True,False,True,David Lieb,0
4,315490964,315490964,brewster_kahle,San Francisco,Digital Librarian   http://t.co/2IpGhUmu   http://t.co/KMFz4Xor http://t.co/0E7F2n7N @internetarchive @openlibrary,http://t.co/Hk02WjLpmL,10448,421,547,Sat Jun 11 23:44:21 +0000 2011,428,False,1797,en,"{'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 29, 'id_str': '982285451510689793', 'in_reply_to_screen_name': None, 'favorite_count': 54, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Fri Apr 06 15:54:36 +0000 2018', 'is_quote_status': False, 'text': '13 different versions of Wabash Blues digitized from 78rpm records. Gotta love it.  With ""Play All"", you can listen… https://t.co/aRQ8SyNWSt', 'in_reply_to_status_id': None, 'entities': {'urls': [{'expanded_url': 'https://twitter.com/i/web/status/982285451510689793', 'display_url': 'twitter.com/i/web/status/9…', 'url': 'https://t.co/aRQ8SyNWSt', 'indices': [117, 140]}], 'hashtags': [], 'symbols': [], 'user_mentions': []}, 'possibly_sensitive': False, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': True, 'geo': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'id': 982285451510689793, 'contributors': None}",True,False,False,Brewster Kahle,0
5,318063815,318063815,SebastianThrun,"Mountain View, CA","Founder, President Udacity.",https://t.co/rlrjbh9s51,61616,9,1967,Wed Jun 15 22:24:13 +0000 2011,23,False,580,en,"{'retweeted': False, 'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 2890, 'id_str': '981368752087367686', 'in_reply_to_screen_name': None, 'favorite_count': 0, 'contributors': None, 'favorited': False, 'created_at': 'Wed Apr 04 03:11:58 +0000 2018', 'is_quote_status': False, 'text': 'RT @sundarpichai: There are no words to describe the tragedy that occurred today. @SusanWojcicki &amp; I are focused on supporting our employee…', 'in_reply_to_status_id': None, 'entities': {'urls': [], 'hashtags': [], 'symbols': [], 'user_mentions': [{'id': 14130366, 'name': 'Sundar Pichai', 'indices': [3, 16], 'id_str': '14130366', 'screen_name': 'sundarpichai'}, {'id': 15828408, 'name': 'Susan Wojcicki', 'indices': [82, 96], 'id_str': '15828408', 'screen_name': 'SusanWojcicki'}]}, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': False, 'retweeted_status': {'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 2890, 'id_str': '981317678735376384', 'in_reply_to_screen_name': None, 'favorite_count': 16145, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Tue Apr 03 23:49:01 +0000 2018', 'is_quote_status': False, 'text': 'There are no words to describe the tragedy that occurred today. @SusanWojcicki &amp; I are focused on supporting our em… https://t.co/bRB4hzitot', 'in_reply_to_status_id': None, 'entities': {'urls': [{'expanded_url': 'https://twitter.com/i/web/status/981317678735376384', 'display_url': 'twitter.com/i/web/status/9…', 'url': 'https://t.co/bRB4hzitot', 'indices': [121, 144]}], 'hashtags': [], 'symbols': [], 'user_mentions': [{'id': 15828408, 'name': 'Susan Wojcicki', 'indices': [64, 78], 'id_str': '15828408', 'screen_name': 'SusanWojcicki'}]}, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': True, 'geo': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'id': 981317678735376384, 'contributors': None}, 'geo': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'id': 981368752087367686, 'lang': 'en'}",True,False,False,Sebastian Thrun,0
6,326119501,326119501,ShaneWallCTO,"Palo Alto, CA","@HP CTO, Global Head @HPLabs. Technology #futurist, passionate leader focused on #3dprinting, #cybersecurity, #drones, travel, and @FriendsNational",https://t.co/kOYgft1EXP,22807,2332,898,Wed Jun 29 12:08:24 +0000 2011,3044,True,3796,en,"{'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 2, 'id_str': '982664502939475970', 'in_reply_to_screen_name': None, 'favorite_count': 4, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Sat Apr 07 17:00:49 +0000 2018', 'is_quote_status': False, 'text': 'Using robotics with machine learning to drive a new generation of smart machines https://t.co/gGAkAON4Tz @HPLabs #KeepReinventing', 'in_reply_to_status_id': None, 'entities': {'urls': [{'expanded_url': 'https://garage.ext.hp.com/us/en/hp-labs/hp-labs-teams-robotics-with-machine-learning.html', 'display_url': 'garage.ext.hp.com/us/en/hp-labs/…', 'url': 'https://t.co/gGAkAON4Tz', 'indices': [81, 104]}], 'hashtags': [{'indices': [113, 129], 'text': 'KeepReinventing'}], 'symbols': [], 'user_mentions': [{'id': 4052613553, 'name': 'HP Labs', 'indices': [105, 112], 'id_str': '4052613553', 'screen_name': 'hplabs'}]}, 'possibly_sensitive': False, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': False, 'geo': None, 'source': '<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>', 'id': 982664502939475970, 'contributors': None}",True,False,False,Shane Wall,0
7,331821111,331821111,geoffreyamoore,Silicon Valley,"Author, speaker, advisor, best known for Crossing the Chasm. Venture partner at MDV & Wildcat Venture Partners. Chairman emeritus Chasm Group & Chasm Institute",http://t.co/8dLrSlYqN5,11338,31,613,Fri Jul 08 19:28:48 +0000 2011,2499,False,2554,en,"{'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 10, 'id_str': '982267910746923010', 'in_reply_to_screen_name': None, 'favorite_count': 12, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Fri Apr 06 14:44:54 +0000 2018', 'is_quote_status': False, 'text': 'There will always be value to the human touch, but where that touch needs to be reserved for truly complex situatio… https://t.co/E7EFCMamRP', 'in_reply_to_status_id': None, 'entities': {'urls': [{'expanded_url': 'https://twitter.com/i/web/status/982267910746923010', 'display_url': 'twitter.com/i/web/status/9…', 'url': 'https://t.co/E7EFCMamRP', 'indices': [117, 140]}], 'hashtags': [], 'symbols': [], 'user_mentions': []}, 'possibly_sensitive': False, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': True, 'geo': None, 'source': '<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>', 'id': 982267910746923010, 'contributors': None}",True,False,False,Geoffrey Moore,0
8,378223565,378223565,sparker,SF / LA / NYC,"Napster, Plaxo, Facebook, Causes, Spotify & Airtime = https://t.co/pEfbUoDYae",https://t.co/OChMaSsvLB,427996,598,4939,Thu Sep 22 21:06:05 +0000 2011,30,True,506,en,"{'in_reply_to_status_id_str': None, 'place': None, 'coordinates': None, 'retweet_count': 10, 'id_str': '971842499286216704', 'in_reply_to_screen_name': None, 'favorite_count': 64, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Thu Mar 08 20:18:02 +0000 2018', 'is_quote_status': False, 'text': ""I am grateful to be named an honorary patron by Trinity College's philosophical society. I had an extraordinary dis… https://t.co/oDWwR5QBht"", 'in_reply_to_status_id': None, 'entities': {'urls': [{'expanded_url': 'https://twitter.com/i/web/status/971842499286216704', 'display_url': 'twitter.com/i/web/status/9…', 'url': 'https://t.co/oDWwR5QBht', 'indices': [117, 140]}], 'hashtags': [], 'symbols': [], 'user_mentions': []}, 'in_reply_to_user_id_str': None, 'in_reply_to_user_id': None, 'truncated': True, 'geo': None, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'id': 971842499286216704, 'contributors': None}",False,False,False,Sean Parker,0
9,409530697,409530697,andrew_anagnost,San Francisco Bay Area,"Husband, Math Tutor, Frustrated Writer and CEO @autodesk (tweets are my own and are not intended to represent the views of my wife, children or employer)",https://t.co/gTJrYNniTX,3013,379,88,Thu Nov 10 21:37:10 +0000 2011,766,False,1505,en,"{'in_reply_to_status_id_str': '981549142349635585', 'place': None, 'coordinates': None, 'retweet_count': 0, 'id_str': '981602705780113409', 'in_reply_to_screen_name': 'RickRaubenheime', 'favorite_count': 0, 'retweeted': False, 'favorited': False, 'lang': 'en', 'created_at': 'Wed Apr 04 18:41:37 +0000 2018', 'is_quote_status': False, 'text': '@RickRaubenheime Yes, I saw you were in South Africa - just thought someone from you team might be at the partner c… https://t.co/30DISNbk95', 'in_reply_to_status_id': 981549142349635585, 'entities': {'urls': [{'expanded_url': 'https://twitter.com/i/web/status/981602705780113409', 'display_url': 'twitter.com/i/web/status/9…', 'url': 'https://t.co/30DISNbk95', 'indices': [117, 140]}], 'hashtags': [], 'symbols': [], 'user_mentions': [{'id': 1199914992, 'name': 'Rick Raubenheimer', 'indices': [0, 16], 'id_str': '1199914992', 'screen_name': 'RickRaubenheime'}]}, 'in_reply_to_user_id_str': '1199914992', 'in_reply_to_user_id': 1199914992, 'truncated': True, 'geo': None, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'id': 981602705780113409, 'contributors': None}",True,False,False,Andrew Anagnost,0
